video_id	prompt_en
misc_933704-uhd_3840_2160_30fps	A video capturing a heavy rainfall in a tropical or subtropical environment. The scene opens with a close-up of a tree with large, broad leaves that are visibly wet and glistening under the rain. The leaves are attached to dark, slender branches that sway vigorously in the wind, indicating the strength of the storm. In the background, other trees with thinner trunks and more sparse foliage are partially obscured by the mist created by the rain, adding depth to the scene. The sky is overcast, contributing to the gray and damp atmosphere. As the video progresses, the rain continues to pour, with water droplets continuously falling and splashing against the leaves and branches. The leaves rustle and move more vigorously, and the branches bend further under the force of the wind. No new objects appear throughout the video; the focus remains on the interaction between the rain, wind, and vegetation. By the final frame, the scene retains its initial characteristics: the wet, swaying leaves, the misty background, and the persistent, heavy rain, maintaining the overall mood of a stormy day.
misc_3012488-uhd_3840_2160_30fps	The video begins with a close-up shot of a guinea pig with a white chest and brown fur, situated in a hay-filled enclosure. The guinea pig is positioned near a large, dark gray plastic tube lying horizontally across the hay. Behind the guinea pig, a tree trunk with exposed roots and branches provides a natural backdrop. A goat with a light brown coat and darker mane stands in the background, partially obscured by a metal fence. The goat remains relatively still, occasionally shifting its gaze towards the guinea pig. The scene captures a calm moment in what appears to be a petting zoo or animal exhibit, with the hay and tree trunk serving as part of the habitat. As the video progresses, the guinea pig continues to move its head slightly, occasionally grooming itself, while the goat maintains its position, observing the surroundings. The final frame shows the guinea pig moving forward along the dark plastic tube, continuing its subtle movements, with the goat remaining in the background, unchanged from its earlier stance.
industry_098	A close-up shot captures a person's hands meticulously sealing a cardboard box with a yellow tape dispenser in a well-lit indoor environment. The individual, wearing a wristwatch on their left wrist and a bracelet on their right wrist, holds the dispenser in their right hand, applying tape to the edge of the box. Their left hand supports the box, ensuring stability as they work. The box is positioned on a flat surface, with a white cloth partially visible in the background, suggesting a clean and organized setting. The lighting highlights the details of the hands and the tape dispenser, emphasizing the precision of the task. As the video progresses, the person continues to apply tape along the box's edge from their left, moving the dispenser steadily from one end to the other, gradually covering more of the box's edge. The transparent, light-colored tape stretches tautly across the surface, creating a secure closure. The person's movements remain deliberate and focused, conveying a sense of completion and satisfaction with the task at hand.
misc_4887915-uhd_4096_2160_25fps	The video opens with a close-up shot of a person's hand, adorned with neatly manicured nails, gently touching the tall grass in a lush green field. The individual is wearing a flowing white dress that billows slightly with each movement, and dark boots that contrast subtly with the bright green surroundings. The grass, a mix of green hues, sways gently in the breeze, creating a serene and natural backdrop. As the video progresses, the person continues to walk through the field, their hand moving gracefully over the grass, which becomes more animated due to the increasing wind. The final frame shows the person still walking, their hand continuing its gentle exploration of the field, with the grass swaying more vigorously, indicating a stronger wind. The overall scene remains tranquil, emphasizing the harmony between the person and the natural environment.
industry_067	"A medium shot captures a section of a conveyor belt system within an industrial coffee production facility. The conveyor belt, made of metal with a textured, grid-like surface, curves gracefully, supported by metallic frames and mechanisms. Four large, identical, silver-colored coffee bags labeled ""TOKYO ROAST"" move steadily along the conveyor belt. Initially, the second bag is closest to the camera, while the first bag is further back. As the video progresses, both bags continue their journey, with the second bag gradually moving out of the frame, revealing more of the conveyor belt and machinery. The third bag advances, taking the place of the second bag, and the fourth bag enters from the left side. The conveyor belt maintains a consistent motion, emphasizing the efficiency and automation of the process. The background includes industrial elements like metal structures and control panels, contributing to the functional and modern aesthetic of the facility."
industry_073	A close-up shot captures the intricate process of a CNC machine drilling holes into a metal workpiece in an industrial setting. The metallic cutting tool, mounted on a black holder, precisely drills into the securely clamped metal surface. Small metal shavings scatter around the work area, evidence of previous machining activities. Bright lighting highlights the precision of the operation, reflecting off the metal. As the drill bit descends, it initiates the drilling process, with high-pressure water cooling sprays continuously surrounding the cutting zone to cool and lubricate the tool while flushing away debris. The machine methodically removes material, ensuring accuracy in the drilling operation. By the final frame, the drilled holes are clearly visible on the workpiece, and the high-pressure water cooling system continues to operate, maintaining optimal machining conditions. The video showcases the meticulous and efficient nature of modern manufacturing technology.
av_027b0cab-4b66-4100-83f3-e4150296d9de	"The video opens with a wide-angle shot captured from inside a vehicle at an intersection during late afternoon, as indicated by the long shadows and the position of the sun. The dashboard reflects the road ahead, with multiple traffic lights visible overhead, one of which is green for the direction the camera faces. Several cars are present, including a sedan directly ahead and others waiting at the stoplight. To the left, a ""No U-turn"" sign is visible. The surroundings feature trees lining the roadsides and some commercial buildings in the background, suggesting a suburban area. Power lines crisscross above the intersection, adding to the urban landscape. As the video progresses, the ego vehicle begins turning left, and the left-turn arrow light changes from green to yellow. The camera captures the 'Scott' street sign hanging from a traffic signal pole as the vehicle completes the turn. Lane merging markers become visible on the road ahead as the vehicle continues through the intersection. The scene shifts slightly, revealing more vehicles on the left side of the ego vehicle as it passes through the area."
human_135	The video opens with a wide shot of an indoor skatepark, where a large crowd of spectators lines the edges of the bowl-shaped skating area. The audience, dressed in casual attire, watches intently from behind safety railings. The roller skater, wearing a helmet and a loose-fitting blue jacket over a dark shirt, glides smoothly across the wooden surface of the bowl. Approaching the edge, the skater leans into the curve, executing a fluid turn and adjusting their stance to navigate the transition. They then accelerate down the slope, gaining momentum before performing a controlled jump, launching into the air with arms outstretched for balance. Mid-air, the skater maintains a crouched position, showcasing precision and skill. Upon landing, the roller skater continues to glide smoothly along the curved edge of the bowl, demonstrating agility and control throughout the sequence. The final frame captures the roller skater mid-landing, with their body positioned low and balanced, continuing their smooth glide along the bowl's edge.  A dynamic wide shot captures the skater's fluid movements and the engaged audience, emphasizing the energy and excitement of the scene.
human_121	The video opens with a serene park-like setting, featuring a paved area with visible cracks and a backdrop of neatly trimmed bushes and trees. Two individuals stand on a blue and yellow outdoor exercise machine, positioned side by side. One person carries a backpack, while the other has a bag slung over their shoulder. The sunlight illuminates the scene, casting distinct shadows of the individuals and the exercise machine onto the ground, highlighting the bright, clear weather. Throughout the video, the individuals move slightly side to side on the machine, maintaining a casual and relaxed posture. The background remains unchanged, reinforcing the tranquil and static nature of the scene. By the final frame, the individuals continue to move side to side on the machine, maintaining the initial setup without any noticeable changes in their posture or the environment around them.  A medium shot captures the two individuals on the exercise machine, with the camera positioned at a slight angle to emphasize their movements and the shadows cast by the sunlight. The background features a mix of greenery and bare trees, suggesting a late autumn or early spring setting. The overall atmosphere is calm and peaceful, with the exercise machine serving as the focal point of the scene.
human_109	A dynamic padel match unfolds on a vibrant green artificial turf court, enclosed by a tall black metal fence and marked by vivid blue walls. The scene is set against an overcast sky, with lush greenery visible beyond the fence, suggesting a secluded outdoor location. A young man, dressed in a black short-sleeved shirt, black shorts with white stripes, and black athletic shoes, stands near the center of the court, holding a red padel racket in his right hand. He faces the blue wall, preparing to receive an incoming yellow padel ball. As the ball approaches, he swings his racket with precision, hitting it back towards the wall. His movements are fluid and controlled, demonstrating his focus and skill. The final frame captures the man mid-swing, having just made contact with the ball, which is now in motion, heading back towards the opposite side of the court.
